state,State postal abbreviation
irrigation_5,"Irrigation, acres irrigated, microirrigation, in thousands"
irrigation_6,"Irrigation, acres irrigated, surface (flood), in thousands"
irrigation_7,"Irrigation, acres irrigated, total, in thousands"
crop_1,"Irrigation-Crop, groundwater withdrawals, fresh, in Mgal/d"
crop_2,"Irrigation-Crop, surface-water withdrawals, fresh, in Mgal/d"
crop_3,"Irrigation-Crop, total withdrawals, fresh, in Mgal/d"
crop_4,"Irrigation-Crop, acres irrigated, sprinkler, in thousands"
crop_5,"Irrigation-Crop, acres irrigated, microirrigation, in thousands"
crop_6,"Irrigation-Crop, acres irrigated, surface (flood), in thousands"
crop_7,"Irrigation-Crop, acres irrigated, total, in thousands"
golf_1,"Irrigation-Golf, groundwater withdrawals, fresh, in Mgal/d"
golf_2,"Irrigation-Golf, surface-water withdrawals, fresh, in Mgal/d"
golf_3,"Irrigation-Golf, total withdrawals, fresh, in Mgal/d"
golf_4,"Irrigation-Golf, acres irrigated, sprinkler, in thousands"
golf_5,"Irrigation-Golf, acres irrigated, microirrigation, in thousands"
golf_6,"Irrigation-Golf, acres irrigated, surface (flood), in thousands"
golf_7,"Irrigation-Golf, acres irrigated, total, in thousands"
livestock_1,"Livestock, groundwater withdrawals, fresh, in Mgal/d"
livestock_2,"Livestock, surface-water withdrawals, fresh, in Mgal/d"
livestock_3,"Livestock, total withdrawals, fresh, in Mgal/d"
aqua_1,"Aquaculture, groundwater withdrawals, fresh, in Mgal/d"
aqua_2,"Aquaculture, groundwater withdrawals, saline, in Mgal/d"
aqua_3,"Aquaculture, groundwater withdrawals, total, in Mgal/d"
aqua_4,"Aquaculture, surface-water withdrawals, fresh, in Mgal/d"
aqua_5,"Aquaculture, surface-water withdrawals, saline, in Mgal/d"
aqua_6,"Aquaculture, surface-water withdrawals, total, in Mgal/d"
aqua_7,"Aquaculture, total withdrawals, fresh, in Mgal/d"
aqua_8,"Aquaculture, total withdrawals, saline, in Mgal/d"
aqua_9,"Aquaculture, total withdrawals, total (fresh+saline), in Mgal/d"
mining_1,"Mining, groundwater withdrawals, fresh, in Mgal/d"
mining_2,"Mining, groundwater withdrawals, saline, in Mgal/d"
mining_3,"Mining, groundwater withdrawals, total, in Mgal/d"
mining_4,"Mining, surface-water withdrawals, fresh, in Mgal/d"
mining_5,"Mining, surface-water withdrawals, saline, in Mgal/d"
mining_6,"Mining, surface-water withdrawals, total, in Mgal/d"
mining_7,"Mining, total withdrawals, fresh, in Mgal/d"
mining_8,"Mining, total withdrawals, saline, in Mgal/d"
mining_9,"Mining, total withdrawals, total (fresh+saline), in Mgal/d"
thermoelectric_1,"Thermoelectric, groundwater withdrawals, fresh, in Mgal/d"
thermoelectric_2,"Thermoelectric, groundwater withdrawals, saline, in Mgal/d"
thermoelectric_3,"Thermoelectric, groundwater withdrawals, total, in Mgal/d"
thermoelectric_4,"Thermoelectric, surface-water withdrawals, fresh, in Mgal/d"
thermoelectric_5,"Thermoelectric, surface-water withdrawals, saline, in Mgal/d"
thermoelectric_6,"Thermoelectric, surface-water withdrawals, total, in Mgal/d"
thermoelectric_7,"Thermoelectric, total withdrawals, fresh, in Mgal/d"
thermoelectric_8,"Thermoelectric, total withdrawals, saline, in Mgal/d"
thermoelectric_9,"Thermoelectric, total withdrawals, total (fresh+saline), in Mgal/d"
thermoelectric_10,"Thermoelectric, power generated, in gigawatt-hours"
thermoelectric_11,"Thermoelectric once-through, groundwater withdrawals, fresh, in Mgal/d"
thermoelectric_12,"Thermoelectric once-through, groundwater withdrawals, saline, in Mgal/d"
thermoelectric_13,"Thermoelectric once-through, groundwater withdrawals, total, in Mgal/d"
thermoelectric_14,"Thermoelectric once-through, surface-water withdrawals, fresh, in Mgal/d"
thermoelectric_15,"Thermoelectric once-through, surface-water withdrawals, saline, in Mgal/d"
thermoelectric_16,"Thermoelectric once-through, surface-water withdrawals, total, in Mgal/d"
thermoelectric_17,"Thermoelectric once-through, total withdrawals, fresh, in Mgal/d"
thermoelectric_18,"Thermoelectric once-through, total withdrawals, saline, in Mgal/d"
thermoelectric_19,"Thermoelectric once-through, total withdrawals, total, in Mgal/d"
thermoelectric_20,"Thermoelectric once-through, power generated, in gigawatt-hours"
thermoelectric_21,"Thermoelectric recirculation, groundwater withdrawals, fresh, in Mgal/d"
thermoelectric_22,"Thermoelectric recirculation, groundwater withdrawals, saline, in Mgal/d"
thermoelectric_23,"Thermoelectric recirculation, groundwater withdrawals, total, in Mgal/d"
thermoelectric_24,"Thermoelectric recirculation, surface-water withdrawals, fresh, in Mgal/d"
thermoelectric_25,"Thermoelectric recirculation, surface-water withdrawals, saline, in Mgal/d"
thermoelectric_26,"Thermoelectric recirculation, surface-water withdrawals, total, in Mgal/d"
thermoelectric_27,"Thermoelectric recirculation, total withdrawals, fresh, in Mgal/d"
thermoelectric_28,"Thermoelectric recirculation, total withdrawals, saline, in Mgal/d"
thermoelectric_29,"Thermoelectric recirculation, total withdrawals, total (fresh+saline), in Mgal/d"
thermoelectric_30,"Thermoelectric recirculation, power generated, in gigawatt-hours"
gro_wat_1,"Total groundwater withdrawals, fresh, in Mgal/d"
gro_wat_2,"Total groundwater withdrawals, saline, in Mgal/d"
gro_wat_3,"Total groundwater withdrawals, total (fresh+saline), in Mgal/d"
surf_wat_1,"Total surface-water withdrawals, fresh, in Mgal/d"
surf_wat_2,"Total surface-water withdrawals, saline, in Mgal/d"
surf_wat_3,"Total surface-water withdrawals, total (fresh+saline), in Mgal/d"
total_withdrawal_1,"Total withdrawals, fresh, in Mgal/d"
total_withdrawal_2,"Total withdrawals, saline, in Mgal/d"
total_withdrawal_3,"Total withdrawals, total (fresh+saline), in Mgal/d"
